"","year","biomass","control.rule","sim"
"585",2037,29869.1428540244,"base",9752
"586",2038,60076.6729748757,"base",9752
"587",2039,76360.7811089964,"base",9752
"588",2040,75432.4705639347,"base",9752
"589",2041,72513.7985993195,"base",9752
"590",2042,60348.4034323957,"base",9752
"591",2043,56649.2684399209,"base",9752
"592",2044,50504.6638075241,"base",9752
"593",2045,38576.8334327722,"base",9752
"594",2046,30656.8142668712,"base",9752
"595",2047,22335.2169111613,"base",9752
"596",2048,18404.9305594283,"base",9752
"597",2049,17298.3074347845,"base",9752
"598",2050,14043.9761776642,"base",9752
"599",2051,12407.2527256843,"base",9752
"600",2052,13384.1759875858,"base",9752
"601",2023,27444.6053681475,"base",5421
"602",2024,33863.8396960847,"base",5421
"603",2025,34769.557937796,"base",5421
"604",2026,31425.2785904155,"base",5421
"605",2027,29478.2298752387,"base",5421
"606",2028,38142.3161566581,"base",5421
"607",2029,35969.0813696828,"base",5421
"608",2030,33375.9439637396,"base",5421
"609",2031,45998.6909251685,"base",5421
"610",2032,50187.4374042453,"base",5421
"611",2033,43644.8049459543,"base",5421
"612",2034,37367.8904531639,"base",5421
"613",2035,28479.7810003842,"base",5421
"614",2036,26163.5122712606,"base",5421
"615",2037,90528.7218934433,"base",5421
"616",2038,122955.82848681,"base",5421
"617",2039,108632.346126588,"base",5421
"618",2040,91049.878494458,"base",5421
"619",2041,69557.0874508673,"base",5421
"620",2042,54760.3442325924,"base",5421
"621",2043,48941.0636252886,"base",5421
"622",2044,24603.7338413624,"base",5421
"623",2045,14993.0106037342,"base",5421
"624",2046,13688.4399661256,"base",5421
"625",2047,13732.5011505691,"base",5421
"626",2048,18239.8185144706,"base",5421
"627",2049,21294.640441338,"base",5421
"628",2050,24834.7720303156,"base",5421
"629",2051,39929.4596718895,"base",5421
"630",2052,43696.2124487201,"base",5421
"631",2023,16280.4346005495,"base",288
"632",2024,17417.3774824776,"base",288
"633",2025,16852.13165591,"base",288
"634",2026,17304.0909844712,"base",288
"635",2027,16606.2627683549,"base",288
"636",2028,15737.6191247977,"base",288
"637",2029,12172.071500997,"base",288
"638",2030,14823.0762813305,"base",288
"639",2031,16795.9462628963,"base",288
"640",2032,21719.6081490381,"base",288
"641",2033,41464.93396508,"base",288
"642",2034,52451.9594613115,"base",288
"643",2035,47752.0575168731,"base",288
"644",2036,39275.3082210981,"base",288
"645",2037,33295.4973654246,"base",288
"646",2038,81597.7123513737,"base",288
"647",2039,106632.583566559,"base",288
"648",2040,85394.594682905,"base",288
"649",2041,60006.6827412794,"base",288
"650",2042,42778.969041061,"base",288
"651",2043,39343.9651900812,"base",288
"652",2044,34235.3364641991,"base",288
"653",2045,28030.7054890839,"base",288
"654",2046,24563.9445565828,"base",288
"655",2047,21426.1439229075,"base",288
"656",2048,18067.7247726174,"base",288
"657",2049,14444.2365551122,"base",288
"658",2050,12995.3857400971,"base",288
"659",2051,13446.6743592531,"base",288
"660",2052,11436.6569527694,"base",288
"661",2023,24669.9754619202,"base",3586
"662",2024,22412.888885283,"base",3586
"663",2025,19117.8282986418,"base",3586
"664",2026,44952.6209232242,"base",3586
"665",2027,80680.5862897379,"base",3586
"666",2028,64151.0930343084,"base",3586
"667",2029,42257.5829577384,"base",3586
"668",2030,102342.461637629,"base",3586
"669",2031,117728.23465517,"base",3586
"670",2032,78434.6338508754,"base",3586
"671",2033,52479.3035176951,"base",3586
"672",2034,42940.5262325657,"base",3586
"673",2035,35790.0431842257,"base",3586
"674",2036,33505.5278869741,"base",3586
"675",2037,33133.0980179326,"base",3586
"676",2038,28361.1566239373,"base",3586
"677",2039,27009.9166701424,"base",3586
"678",2040,24030.9349323402,"base",3586
"679",2041,62582.9439191827,"base",3586
"680",2042,73766.8208970062,"base",3586
"681",2043,47724.6171594581,"base",3586
"682",2044,34778.5377521993,"base",3586
"683",2045,31384.5491356837,"base",3586
"684",2046,26035.0491505339,"base",3586
"685",2047,24267.2145599317,"base",3586
"686",2048,18775.220654526,"base",3586
"687",2049,13560.4154413551,"base",3586
"688",2050,12183.7749104519,"base",3586
"689",2051,14155.5767207496,"base",3586
"690",2052,13699.7609900501,"base",3586
"691",2023,20232.2737086048,"base",8470
"692",2024,19665.7627226721,"base",8470
"693",2025,17933.9941088567,"base",8470
"694",2026,34813.6627586006,"base",8470
"695",2027,43062.5842590232,"base",8470
